title,title_norm,year,rt_tomato,rt_audience,tomatometer_count,audience_count,tomatometer_status,audience_status
The Midnight Meat Train,the midnight meat train,2008.0,73.0,50.0,33.0,143577.0,Fresh,Spilled
The Lucky Ones,the lucky ones,2008.0,37.0,54.0,75.0,11792.0,Rotten,Spilled
Run Fatboy Run,run fatboy run,2007.0,47.0,64.0,154.0,102884.0,Rotten,Upright
Closing Escrow,closing escrow,2007.0,54.0,36.0,13.0,1123.0,Rotten,Spilled
Whiteout,whiteout,2009.0,7.0,21.0,116.0,538861.0,Rotten,Spilled
Randy and the Mob,randy and the mob,2007.0,56.0,39.0,9.0,288.0,Rotten,Spilled
Black Irish,black irish,2007.0,31.0,58.0,13.0,1685.0,Rotten,Spilled
Wild Child,wild child,2008.0,41.0,61.0,27.0,17496.0,Rotten,Upright
Powder Blue,powder blue,2009.0,25.0,40.0,8.0,7416.0,Rotten,Spilled
King Corn,king corn,2007.0,96.0,78.0,26.0,3201.0,Fresh,Upright
L' Avocat de la Terreur (Terror's Advocate),l avocat de la terreur terror s advocate,2007.0,87.0,67.0,46.0,1952.0,Certified-Fresh,Upright
Darfur Now,darfur now,2007.0,73.0,73.0,59.0,2308.0,Fresh,Upright
Laaga Chunari Mein Daag - Journey of a Woman,laaga chunari mein daag journey of a woman,2007.0,50.0,58.0,6.0,3785.0,Rotten,Spilled
Rails & Ties,rails ties,2007.0,34.0,58.0,47.0,10100.0,Rotten,Spilled
Mr. Untouchable,mr untouchable,2007.0,73.0,54.0,26.0,732.0,Fresh,Spilled
House,house,2008.0,0.0,27.0,13.0,16715.0,Rotten,Spilled
Canvas,canvas,2007.0,78.0,62.0,27.0,571.0,Fresh,Upright
Skid Row,skid row,2007.0,83.0,55.0,6.0,389.0,Fresh,Spilled
Saawariya,saawariya,2007.0,38.0,46.0,21.0,5828.0,Rotten,Spilled
Aaja Nachle,aaja nachle,2007.0,67.0,72.0,6.0,4354.0,Fresh,Upright
Flawless,flawless,2008.0,55.0,54.0,95.0,12577.0,Rotten,Spilled
What Happens in Vegas,what happens in vegas,2008.0,26.0,65.0,133.0,501711.0,Rotten,Upright
Appaloosa,appaloosa,2008.0,76.0,55.0,164.0,55694.0,Certified-Fresh,Spilled
Good,good,2008.0,32.0,32.0,71.0,41569.0,Rotten,Spilled
